100,rbf,0.01,50,Train,0.29,0.318,0.337,0.31,0.306,0.311,0.313,0.307,0.303,0.343
100,rbf,0.01,50,Test,0.149,0.191,0.223,0.223,0.194,0.2,0.237,0.211,0.22,0.249
100,rbf,0.01,100,Train,0.49,0.485,0.469,0.458,0.476,0.485,0.46,0.493,0.468,0.466
100,rbf,0.01,100,Test,0.229,0.251,0.263,0.254,0.271,0.257,0.257,0.243,0.263,0.246
100,rbf,0.01,150,Train,0.635,0.657,0.649,0.639,0.644,0.65,0.641,0.637,0.643,0.642
100,rbf,0.01,150,Test,0.263,0.28,0.289,0.303,0.291,0.266,0.269,0.269,0.28,0.297
100,rbf,0.01,200,Train,0.809,0.823,0.811,0.813,0.806,0.815,0.821,0.807,0.802,0.805
100,rbf,0.01,200,Test,0.34,0.306,0.314,0.343,0.306,0.306,0.337,0.311,0.309,0.297
100,rbf,0.01,250,Train,0.939,0.94,0.923,0.933,0.933,0.938,0.939,0.918,0.93,0.924
100,rbf,0.01,250,Test,0.326,0.303,0.326,0.349,0.334,0.34,0.351,0.334,0.36,0.351
100,rbf,0.01,300,Train,0.981,0.987,0.99,0.989,0.992,0.99,0.984,0.985,0.988,0.981
100,rbf,0.01,300,Test,0.329,0.32,0.351,0.349,0.317,0.346,0.349,0.349,0.349,0.357
100,rbf,0.01,350,Train,1.0,1.0,0.999,1.0,0.998,1.0,0.999,1.0,1.0,0.999
100,rbf,0.01,350,Test,0.334,0.326,0.331,0.369,0.329,0.357,0.346,0.357,0.363,0.371
100,rbf,0.01,400,Train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100,rbf,0.01,400,Test,0.343,0.314,0.34,0.38,0.331,0.366,0.354,0.354,0.354,0.357
100,rbf,0.01,450,Train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100,rbf,0.01,450,Test,0.354,0.314,0.346,0.371,0.311,0.369,0.337,0.36,0.363,0.354
100,rbf,0.01,500,Train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100,rbf,0.01,500,Test,0.337,0.323,0.334,0.374,0.32,0.371,0.363,0.36,0.349,0.351
10,rbf,auto,50,Train,0.207,0.202,0.223,0.208,0.198,0.205,0.228,0.232,0.22,0.206
10,rbf,auto,50,Test,0.237,0.189,0.197,0.223,0.197,0.2,0.197,0.194,0.2,0.171
10,rbf,auto,100,Train,0.265,0.2,0.243,0.283,0.273,0.27,0.268,0.305,0.258,0.238
10,rbf,auto,100,Test,0.263,0.203,0.209,0.277,0.246,0.229,0.249,0.243,0.223,0.206
10,rbf,auto,150,Train,0.302,0.296,0.325,0.291,0.33,0.33,0.305,0.351,0.309,0.335
10,rbf,auto,150,Test,0.251,0.3,0.251,0.257,0.311,0.217,0.211,0.297,0.254,0.289
10,rbf,auto,200,Train,0.435,0.44,0.44,0.447,0.392,0.465,0.428,0.439,0.455,0.441
10,rbf,auto,200,Test,0.334,0.36,0.337,0.377,0.254,0.351,0.303,0.34,0.346,0.36
10,rbf,auto,250,Train,0.512,0.511,0.499,0.512,0.508,0.508,0.52,0.487,0.494,0.503
10,rbf,auto,250,Test,0.394,0.389,0.334,0.389,0.411,0.371,0.371,0.334,0.363,0.386
10,rbf,auto,300,Train,0.552,0.535,0.526,0.535,0.522,0.551,0.543,0.535,0.549,0.548
10,rbf,auto,300,Test,0.389,0.454,0.371,0.406,0.403,0.366,0.357,0.34,0.403,0.383
10,rbf,auto,350,Train,0.565,0.558,0.557,0.557,0.562,0.562,0.563,0.548,0.567,0.558
10,rbf,auto,350,Test,0.389,0.426,0.369,0.437,0.403,0.38,0.349,0.391,0.394,0.397
10,rbf,auto,400,Train,0.565,0.559,0.567,0.555,0.561,0.563,0.565,0.565,0.57,0.559
10,rbf,auto,400,Test,0.38,0.431,0.371,0.451,0.403,0.36,0.349,0.397,0.409,0.429
10,rbf,auto,450,Train,0.565,0.565,0.568,0.56,0.57,0.564,0.571,0.568,0.57,0.57
10,rbf,auto,450,Test,0.389,0.434,0.354,0.426,0.406,0.369,0.337,0.394,0.414,0.406
10,rbf,auto,500,Train,0.57,0.56,0.571,0.56,0.565,0.571,0.566,0.563,0.569,0.568
10,rbf,auto,500,Test,0.394,0.44,0.354,0.443,0.406,0.374,0.343,0.394,0.417,0.403
